"Total Economy Database™ - Growth Accounting and Total Factor Productivity, 1950-2016 (Adjusted version)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information please refer to the 'CONTENTS' sheet, or the Total Economy Database website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Please cite the data as follows: The Conference Board Total Economy Database™ (Adjusted version), November 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION,ISO,COUNTRY,NR,INDICATOR,MEASURE,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Africa,DZA,Algeria,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,,1.3,1,3.4,1.1,1.2,1.5,1.7,1.5,1.4,1.4,1.5,1.4,1.3,1.2,1.4,1,1,1.1,1.1,0.7,0.9,0.9,1,1,0.9,0.9,1,1,1,0.9,0.8,0.9,0.9,1,1,0.8
Africa,AGO,Angola,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,,1.2,1.1,1.3,1,0.9,2,0.9,1.2,0.7,0.7,0.4,0.4,1.5,1.8,1.4,2.4,2.5,3,3.2,1.8,2.2,2.2,3.4,2.5,1.9,1.5,1.5,1.9,2.3,2,2.8,3.1,2.7,3,2.9,2.1
Africa,BFA,Burkina Faso,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.7,0.8,1,1.8,2.7,3.5,3.9,4,3.9,3.8
Africa,CMR,Cameroon,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,,2.6,1.9,1.9,1.2,0.6,1.8,1.5,0,1.2,1.4,1.6,1.3,1.5,1.4,1.6,1.5,1.4,1.4,1.6,1.6,1.7,1.7,1.8,1.8,1.7,1.9,1.9,2.1,2,2.1,2.3,2.6,2.7,3.3,3.4,3.5
Africa,CIV,Côte d'Ivoire,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,COD,DR Congo,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,EGY,Egypt,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,,2.2,1.8,2.1,1.8,1.8,1.9,2.2,2.2,1.5,1.7,2,2.2,2.4,2.4,2.9,2.9,3,2.9,2.9,2.7,2.6,2.7,2.9,2.8,2.6,2.7,2.9,2.9,2.6,2.4,2.5,2.7,2.7,2.8,2.9,2.9
Africa,ETH,Ethiopia,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,GHA,Ghana,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,KEN,Kenya,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,,,,,,,,,,,,,,,,,,,,,,2.9,2.3,2.2,2.5,2.6,2.4,2.1,1.8,1.6,2.2,1.9,3.3,1.8,1.2,2.8,4.1
Africa,MDG,Madagascar,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,MWI,Malawi,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,,1.6,1.4,1.5,1.3,1.3,1.5,1.6,1.9,1.7,1.9,1.4,1.7,1.4,1.4,1.4,1.2,1.1,1.2,1.4,1.2,1.4,1.3,1.6,1.3,1.4,1.3,2.2,2.2,2.6,3,2.7,2.5,2.2,2,1.9,1.8
Africa,MLI,Mali,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,,5.3,4.3,4.4,3.4,3.1,2.9,2.8,2.3,1.8,1.6,1.4,1.3,1,1,1.4,1.5,1.6,1.5,1.5,1.5,1.4,1.3,1.5,1.4,1.3,1.4,1.5,1.5,1.4,1.3,1.2,1.2,1.1,1.1,1,0.8
Africa,MAR,Morocco,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,,2.3,1.7,2.1,0.5,2.5,1.3,1.2,1.5,1.5,1.5,1.6,1.6,1.5,1.8,1.5,1.6,1.5,1.1,2,2.5,2.1,2.3,2.5,2.5,2.4,2.2,2.7,3.2,3.1,3.2,4,3.9,3.9,4.2,3.2,4.1
Africa,MOZ,Mozambique,15,ICT Capital Share,Share of ICT Capital Compensation in GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
