Series Name,Series Code,Country Name,Country Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,274.8808587,266.4930418,,,,,,,,,,,,,,,,,,,,117.4096908,187.845095,198.7285436,219.1413528,250.2941299,272.563077,369.835796,373.3611163,445.8932979,553.3002894,603.5370231,669.0090509,638.6125432,629.3452503,569.5779229,561.7787463,
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,,,,,662.5200523,662.9147926,719.1572957,699.3842921,676.5667325,723.4096102,639.4638993,348.7113178,218.4921659,380.5273711,619.0651634,760.5593758,1046.358511,749.584649,865.3021618,1098.425463,1175.788981,1326.970339,1453.642777,1890.681557,2416.588235,2709.142931,3005.012903,3603.013685,4370.539647,4114.136545,4094.358832,4437.178068,4247.614308,4413.081697,4578.666728,3934.895394,4124.98239,
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,2189.77668,2223.697344,2197.1105,2298.883805,2452.664632,2567.495905,2740.654724,2790.473919,2402.825627,2202.55809,2394.42038,1721.578696,1766.054678,1797.523561,1499.971505,1444.908036,1596.029867,1612.009303,1588.481449,1581.004564,1757.017797,1732.857979,1774.033673,2094.335506,2598.908023,3100.122378,3464.610079,3935.183343,4905.254866,3868.83123,4463.394675,5432.41332,5565.134521,5471.123389,5466.425778,4160.220067,3916.881571,
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,8751.766529,8914.525433,8639.308855,8508.406915,8456.947997,8980.536414,9871.997194,12058.26382,10352.82276,10375.99422,11660.32953,11589.853,11598.75174,11865.96323,11834.74523,
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,12377.41165,10372.23283,9610.266308,8022.654781,7728.906695,7774.393829,10361.81598,12616.16757,14304.35696,15166.43785,18878.50597,19532.54015,20547.71179,16516.47103,16234.80901,18461.06486,19017.17459,18353.05972,18894.5215,19261.7105,21936.5301,22228.84649,24741.49357,32776.44227,38503.47961,41282.02012,43748.77216,48582.80846,47785.65909,43339.37987,39736.35406,41098.76694,38391.08087,40619.7113,42294.99473,36038.2676,36988.62203,
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,,,,,,630.074985,612.0748404,595.8577544,580.5550249,847.7667242,823.7921843,965.3612964,438.3205196,393.7845209,293.2782224,353.1820451,512.6209659,506.8849522,415.6933459,385.7688535,555.2969419,526.168743,711.181716,779.4683056,1041.086844,1443.991929,2062.415149,2878.837144,3868.578883,3347.84485,3529.053482,4299.012889,4598.249988,4804.616884,4709.312024,3695.793748,3308.700233,
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,1789.589568,2023.39995,2268.789978,2542.52727,2946.240394,3452.522512,4220.961621,4969.781883,5944.670893,6585.840242,6889.004949,7156.853423,7296.551773,7652.102974,8218.597479,7841.464034,8379.576739,8755.156499,9115.234532,9363.18664,9932.029681,9414.160591,9443.063591,9801.966935,10419.31113,11452.73878,12812.76444,14350.91889,14797.36842,13082.28166,12174.69786,11931.20411,12517.55793,12194.60876,12946.98694,13659.14791,14462.17628,
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,2738.284723,2756.396981,2907.757627,3530.131783,2643.369398,2909.51661,3595.085898,3546.71882,3969.327412,2375.339103,4318.7747,5715.504397,6798.026763,6940.350358,7449.48039,7373.428246,7683.574065,8172.664323,8248.761989,7736.369623,7669.273916,7170.694674,2579.193168,3330.437006,4251.574348,5076.883829,5878.761027,7193.61764,8953.359275,8161.306966,10276.2605,12726.90836,12969.70712,12976.63642,12245.25645,13467.10236,12440.32098,
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,,,,,,,,,,,637.8557412,590.1222257,369.6333681,357.2043399,400.5160919,456.3758998,504.059514,523.2835691,609.1730254,597.4334817,622.7427477,694.4305119,783.2616099,930.1661567,1191.96192,1643.758543,2158.002909,3138.808703,4010.026997,2993.832531,3218.381655,3526.978143,3684.80481,3843.591213,3994.712355,3617.935746,3614.688357,
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,,,,,,,,,,,,,,,17342.47194,16441.79064,16585.19553,17926.57284,19081.35166,19356.20339,20620.70063,20670.65566,20434.29944,20834.5102,22567.82492,23302.83199,24014.94427,25921.02605,27546.89939,24631.43486,24271.94042,25324.72036,,,,,,
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,10201.9783,11844.63254,12778.66257,11528.1681,12448.78373,11452.65689,11379.52337,11643.94718,14283.38445,17838.36312,18249.28849,18865.34352,18616.32081,17681.14687,18102.31756,20384.66929,21944.15506,23551.22217,21365.98141,20561.47678,21690.921,19517.84168,20081.81763,23465.38559,30472.37977,34016.71483,36118.28381,40991.98289,49664.68504,42742.99898,51874.08048,62245.10029,67635.31555,67708.68929,62099.61441,56408.34043,49755.31548,
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,10869.54642,9385.249018,9410.347225,9537.407431,8991.065076,9172.096769,13083.0727,16392.76957,17578.61894,17468.94619,21680.98969,22410.91174,24880.16407,24081.52781,25646.70066,30325.84958,29809.07677,26705.4786,27361.87511,27174.29716,24564.45829,24537.51426,26401.74546,32222.89724,36821.52147,38403.13388,40635.28182,46855.77175,51708.76575,47963.1794,46858.04327,51374.95841,48567.69529,50719.38828,51733.48192,44255.58336,44757.6349,
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,,,,,,,,,,,1237.324492,1209.237493,676.1515115,530.0903798,436.1905586,397.1981161,409.2167452,505.5605732,561.9103017,573.8902562,655.0974326,703.6838434,763.0730858,883.6439965,1045.02163,1578.40239,2473.085776,3851.437869,5574.603802,4950.294791,5842.805784,7189.691229,7496.335728,7875.756953,7891.299776,5500.310382,3878.709257,
