Series Name,Series Code,Country Name,Country Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
GINI index (World Bank estimate),SI.POV.GINI,Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Albania,ALB,,,,,,,,,,,,,,,,,27,,,,,,31.7,,,30.6,,,30,,,,29,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Algeria,DZA,,,,,,,,,40.2,,,,,,,35.3,,,,,,,,,,,,,,,,27.6,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.7,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Argentina,ARG,40.8,,,,,,42.8,45.3,,,,46.8,45.5,44.9,45.9,48.9,49.5,49.1,50.7,49.8,51.1,53.3,53.8,50.7,48.3,47.7,46.6,46.3,44.5,43.9,43,42.3,41.2,41,41.4,,42.4,
GINI index (World Bank estimate),SI.POV.GINI,Armenia,ARM,,,,,,,,,,,,,,,,,,,,36.2,,35.4,34.8,33,37.5,36,29.7,31.2,29.2,28,30,29.4,29.6,30.6,31.5,32.4,32.5,
GINI index (World Bank estimate),SI.POV.GINI,Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Australia,AUS,,31.3,,,,32.5,,,,33.2,,,,,,32.6,,,,,,33.5,,33.5,,,,,35.4,,34.7,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Austria,AUT,,,,,,,,,,,,,,,,,,,,,,,,29.5,29.8,28.7,29.6,30.6,30.4,31.5,30.3,30.8,30.5,30.8,30.5,30.5,,
GINI index (World Bank estimate),SI.POV.GINI,Azerbaijan,AZE,,,,,,,,,,,,,,,,34.7,,,,,,36.5,17.4,18.8,16.2,16.6,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,"Bahamas, The",BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Bangladesh,BGD,,,,25.9,,26.9,,,28.8,,,27.6,,,,32.9,,,,,33.4,,,,,33.2,,,,,32.1,,,,,,32.4,
GINI index (World Bank estimate),SI.POV.GINI,Barbados,BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Belarus,BLR,,,,,,,,,,,,,,,,,,,32,31.7,31.2,30.6,30.3,28.8,26.5,27.6,28.3,29.6,27.8,27.7,28.6,27.2,26.5,26.6,27.2,26.7,27,
GINI index (World Bank estimate),SI.POV.GINI,Belgium,BEL,,,,,,,,,,,,,,,,,,,,,,,,28.1,30.5,29.3,28.1,29.2,28.4,28.5,28.4,28.1,27.5,27.7,28.1,27.7,,
GINI index (World Bank estimate),SI.POV.GINI,Belize,BLZ,,,,,,,,,,,,,,60.3,60.9,,56.6,60.4,54.9,53.3,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Benin,BEN,,,,,,,,,,,,,,,,,,,,,,,,38.6,,,,,,,,43.4,,,,47.8,,
GINI index (World Bank estimate),SI.POV.GINI,Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,,,,46.8,,,,38.1,,,,,38.8,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Bolivia,BOL,,,,,,,,,,,42,,,,,,,58.2,,58.1,61.6,57.4,59.3,,55,58.5,56.7,54.5,50.8,49.2,,46.1,46.6,47.6,47.8,46.7,44.6,
GINI index (World Bank estimate),SI.POV.GINI,Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,30,,,34,,,33.1,,,,33,,,,32.7,,
GINI index (World Bank estimate),SI.POV.GINI,Botswana,BWA,,,,,,54.2,,,,,,,,60.8,,,,,,,,,64.7,,,,,,,60.5,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Brazil,BRA,,58,58.4,59,58.4,55.6,58.5,59.7,61.4,63.3,60.5,,53.2,60.1,,59.6,59.9,59.8,59.6,59,,58.4,58.1,57.6,56.5,56.3,55.6,54.9,54,53.7,,52.9,52.6,52.8,51.5,51.3,,
GINI index (World Bank estimate),SI.POV.GINI,British Virgin Islands,VGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Brunei Darussalam,BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GINI index (World Bank estimate),SI.POV.GINI,Bulgaria,BGR,,,,,,,,,,,,,30.7,,,,,,,,,,,,,,35.7,36.1,33.6,33.8,35.7,34.3,36,36.6,37.4,,,
