Series Name,Series Code,Country Name,Country Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,2695612253,4324401128,4605719092,4861120343,5228625785,5743886682,5612184212,5269393819,7162552543,7924080689,8038495178,10083041877,9436790253,9377504680,9544683716,
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Albania,ALB,,,,,372867136.2,362610725.8,336224987.5,335624987.5,408575012.5,483800000,487500000,314316659.7,627952433.9,764996711.8,773426393.9,836744255.2,1061577473,806850764.8,937667487.4,1099997513,1382114188,1583646805,1966308372,2590993958,3245963304,3872963233,4363324819,5862891873,6717536051,6004542100,5792205618,6700292383,5860852654,5999411368,6243050763,5071014157,5436290838,
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Algeria,DZA,12846905746,13693869109,13109185467,12591881327,14748966629,15493853614,14759677286,12288659588,13356326943,15862794362,15472204242,10788718990,11458142448,11557078492,11083919236,12110000386,11240000369,10279999650,10849999758,11079835972,11390139111,12053065885,14547453035,16203129320,21884326066,24843326827,25651596273,33568752300,49096311176,49331042958,50654731588,57376109789,59611982759,63767462893,68262397502,60621193744,56097067791,
Imports of goods and services (current US$),NE.IMP.GNFS.CD,American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,559000000,571000000,567000000,614000000,634000000,621000000,754000000,556000000,537000000,559000000,643000000,641000000,678000000,657000000,615000000,
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Angola,AGO,,,,,,3342245989,3342245989,3342245989,3342245989,3342245989,3342245989,3029652726,4153905487,2923603207,3078876577,,5222436512,5291285623,4714184659,5703592944,5735919712,6697268362,7082117702,8801255390,10634508160,15144224757,16288813595,26304726743,43121503216,41829336845,35421230670,43898357066,45858657954,49190381527,53537927314,37968763908,28057219506,
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Antigua and Barbuda,ATG,95400000,118955555.6,147796296.3,117211111.1,147492592.6,187200000,293462963,303144444.4,283800000,338911111.1,340559259.3,357870370.4,386455555.6,398500000,421925925.9,438925925.9,467366666.7,478288888.9,489922222.2,529322222.2,498461555.6,486572963,474439629.6,534751185.2,592338407.4,682720518.5,818413185.2,932372148.1,952207888.9,706477111.1,678929888.9,641367703.7,701982925.9,720788037,742592592.6,670414259.3,686701666.7,
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Argentina,ARG,4989980080,5800000171,5497685333,6068376037,3762000095,5546666807,7015555449,8417142924,7839772666,5042239481,6546483926,11531201154,18606904906,22049649550,27299750000,26038000000,30148250000,37413750000,38667250000,32762500000,33070250000,27604000000,13065794410,18772867665,27736672324,34423282342,40480743016,52567536062,66316154417,48268743530,67937933972,88839174035,78013690407,81240190817,73691675720,69277437464,73587756603,
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Armenia,ARM,,,,,,,,,,,1045655213,1243607801,779530102.3,729847869.3,961391389.4,913101534.1,894135848.4,955405597,1000634305,919089981.2,966167152.4,977647641.7,1107060085,1404513019,1620291874,2118458711,2505910484,3604342095,4741291123,3718993414,4196501102,4802696584,5139753188,5360220562,5461874861,4418183192,4510568834,
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Aruba,ABW,,,,,,,,,,,,,,,1005027933,1141899441,1224022346,1321229050,1392737430,1458212291,1324284916,1316033520,1347128492,1432167598,1527994413,1816625698,1888111732,2005849162,2091921788,1906100559,1846245810,2233916201,,,,,,
