Series Name,Series Code,Country Name,Country Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Population density (people per sq. km of land area),EN.POP.DNST,Afghanistan,AFG,20.29281929,19.99502803,19.52891125,18.97691542,18.45283062,18.04835646,17.76956928,17.61903165,17.67743161,18.04002236,18.76223693,19.90266979,21.41535858,23.12149465,24.77210887,26.19174249,27.29970285,28.15550807,28.89440156,29.72103667,30.77804736,32.11479184,33.66713078,35.32893882,36.94356983,38.4014919,39.66156603,40.76952486,41.80686671,42.89484882,44.11844346,45.50531354,47.01920473,48.6041234,50.17617866,51.67492877,53.08340532,
Population density (people per sq. km of land area),EN.POP.DNST,Albania,ALB,97.51813869,99.49109489,101.6159854,103.7941606,106.0010584,108.2029927,110.315146,112.5403285,114.6837956,117.8081387,119.9467883,119.2259124,118.505073,117.7841971,117.0633577,116.3424818,115.6216423,114.9007664,114.179927,113.4590511,112.7382117,111.685146,111.3507299,110.9348905,110.4722263,109.9082847,109.2170438,108.394781,107.5662044,106.8437591,106.314635,106.0290146,105.8540511,105.660292,105.4417518,105.135146,104.9671898,
Population density (people per sq. km of land area),EN.POP.DNST,Algeria,DZA,8.119154484,8.373568903,8.63893666,8.912932982,9.192377422,9.47454592,9.758106258,10.04219478,10.32501113,10.6047142,10.87959517,11.14913005,11.4122843,11.66636954,11.90820703,12.13579064,12.34870935,12.5483214,12.73679411,12.91728442,13.0928061,13.26431642,13.43347553,13.60497535,13.78450041,13.97652011,14.18203288,14.40126798,14.63665849,14.89069336,15.16439116,15.45910049,15.77243822,16.0968712,16.42215901,16.740504,17.04889491,
Population density (people per sq. km of land area),EN.POP.DNST,American Samoa,ASM,162.285,167.465,173.69,180.8,188.44,196.205,204.185,212.25,220.235,227.965,235.19,241.875,247.965,253.6,259.015,264.34,269.645,274.705,279.505,283.85,287.605,290.875,293.655,295.585,296.32,295.59,293.25,289.515,285.15,281.135,278.185,276.6,276.15,276.535,277.185,277.685,277.995,
Population density (people per sq. km of land area),EN.POP.DNST,Andorra,AND,76.73829787,79.78723404,83.2212766,86.95106383,90.86382979,94.89361702,98.97234043,103.0957447,107.306383,111.5914894,115.9765957,120.5765957,125.293617,129.7255319,133.3553191,135.8510638,136.9361702,136.8659574,136.4723404,136.9574468,139.1276596,143.2787234,149.0404255,155.706383,162.2212766,167.8021277,172.3212766,175.9212766,178.4276596,179.706383,179.6787234,178.193617,175.3851064,171.8893617,168.5595745,165.987234,164.4276596,
Population density (people per sq. km of land area),EN.POP.DNST,Angola,AGO,7.162829871,7.41518168,7.686015882,7.966280581,8.243619957,8.509699206,8.759955884,8.998370097,9.235556269,9.486834844,9.762926927,10.06933986,10.40213764,10.75137082,11.10235101,11.44541109,11.77691826,12.10313708,12.4362862,12.79358787,13.18755434,13.6225764,14.09533087,14.60124248,15.13252266,15.68343788,16.25282666,16.8426141,17.45361354,18.08738831,18.74479105,19.426137,20.13006337,20.85372584,21.59337932,22.3464386,23.11178551,
Population density (people per sq. km of land area),EN.POP.DNST,Antigua and Barbuda,ATG,166.9136364,166.0590909,164.6545455,162.8159091,160.7386364,158.5954545,156.3840909,154.1931818,152.4045455,151.425,151.5818182,152.9704545,155.5159091,158.95,162.9977273,167.3159091,171.8818182,176.6795455,181.4795455,185.9795455,189.9636364,193.3113636,196.0590909,198.3931818,200.5840909,202.8477273,205.2295455,207.6840909,210.1772727,212.6840909,215.1386364,217.5431818,219.9477273,222.3272727,224.7159091,227.0977273,229.4613636,
Population density (people per sq. km of land area),EN.POP.DNST,Argentina,ARG,10.27002985,10.42988574,10.5945456,10.76290628,10.93324564,11.10421093,11.27538888,11.44684747,11.61823846,11.78926404,11.95960777,12.12922107,12.29775788,12.46429702,12.62770537,12.78727733,12.94252619,13.0939087,13.24285542,13.39138448,13.54097541,13.69227388,13.84496235,13.9984357,14.1516562,14.30395405,14.45501317,14.60531664,14.75592376,14.90830419,15.06341201,15.22162868,15.38235569,15.54429804,15.7056572,15.8650651,16.0220668,
Population density (people per sq. km of land area),EN.POP.DNST,Armenia,ARM,108.8778012,110.575764,112.1772392,113.7546189,115.4055146,117.1736916,119.1519494,121.2484018,123.0997893,124.2173867,124.2769582,123.1208641,120.9276431,118.1277836,115.3375483,113.0081489,111.2825782,110.0486828,109.1915701,108.5007727,107.8183351,107.1533193,106.5646997,105.9995083,105.3955743,104.7158061,103.9164032,103.0226906,102.1503337,101.4606252,101.0646646,101.0038988,101.2266245,101.6336143,102.0800843,102.4569723,102.7332631,
Population density (people per sq. km of land area),EN.POP.DNST,Aruba,ABW,333.8666667,336.4833333,340.8055556,345.5611111,349.0888889,350.1444444,348.0222222,343.5166667,339.3277778,339.0666667,345.2722222,359.0111111,379.0833333,402.8,426.1111111,446.2444444,462.2222222,474.7277778,484.8722222,494.4722222,504.7388889,516.1,527.7333333,538.9833333,548.5388889,555.7277778,560.1777778,562.3333333,563.0722222,563.6277778,564.8277778,566.9611111,569.8722222,573.2611111,576.6388889,579.6722222,582.3444444,
Population density (people per sq. km of land area),EN.POP.DNST,Australia,AUS,1.912448095,1.943037892,1.975710399,2.000572745,2.023352381,2.051208622,2.085104721,2.117061297,2.151985733,2.188719524,2.22135298,2.249847051,2.277312784,2.299701912,2.32417375,2.352420499,2.383530974,2.41034586,2.435598714,2.463585124,2.493133567,2.526977598,2.558009971,2.589771292,2.619970582,2.654777866,2.694232196,2.711115161,2.765994559,2.823594496,2.867858584,2.90798641,2.960373196,3.012886896,3.059518373,3.104641058,3.151505278,
Population density (people per sq. km of land area),EN.POP.DNST,Austria,AUT,91.41962945,91.6530637,91.71881812,91.5707193,91.56495519,91.60795592,91.66619036,91.72421894,91.85416566,92.26891499,92.97469121,93.90761686,94.94682732,95.73302252,96.1021797,96.24943085,96.37947445,96.4887503,96.59468394,96.78280455,97.01581497,97.38790264,97.86821264,98.34612497,98.95817389,99.63464519,100.1288569,100.4563806,100.7713435,101.0356633,101.2874254,101.6417316,102.1148703,102.7416971,103.5053864,104.6153072,105.8065145,
Population density (people per sq. km of land area),EN.POP.DNST,Azerbaijan,AZE,73.9120372,75.09667496,76.30121249,77.53314827,78.80102623,80.10929257,81.45731041,82.83764135,84.23802829,85.64224858,86.02809522,87.37397407,88.70783614,90.06573176,91.29144285,92.34891909,93.28622757,94.19048992,95.23179127,96.52076658,97.43477998,98.19379207,98.9124646,99.62372356,100.4753726,101.5225018,102.6725317,103.8533687,106.0597625,108.2912905,109.5423442,110.9763362,112.4607902,113.9234808,115.3488139,116.7310768,118.0432842,
